2024-03-07T21:00:00-08:00 to 2024-03-07T22:00:00-08:00,0.9081868126694749,2024-03-07T21:00:00-08:00 to 2024-03-07T22:00:00-08:00,0.982198,2024-03-07T21:00:00-08:00 to 2024-03-07T22:00:00-08:00,1.05578,-0.07401118733052514
2024-03-07T22:00:00-08:00 to 2024-03-07T23:00:00-08:00,0.7364951357216722,2024-03-07T22:00:00-08:00 to 2024-03-07T23:00:00-08:00,0.796515,2024-03-07T22:00:00-08:00 to 2024-03-07T23:00:00-08:00,0.856186,-0.06001986427832773
2024-03-07T23:00:00-08:00 to 2024-03-08T00:00:00-08:00,0.5930379543622024,2024-03-07T23:00:00-08:00 to 2024-03-08T00:00:00-08:00,0.641367,2024-03-07T23:00:00-08:00 to 2024-03-08T00:00:00-08:00,0.689415,-0.04832904563779761
2024-03-08T00:00:00-08:00 to 2024-03-08T01:00:00-08:00,0.5176705926280166,2024-03-08T00:00:00-08:00 to 2024-03-08T01:00:00-08:00,0.518208,2024-03-08T00:00:00-08:00 to 2024-03-08T01:00:00-08:00,0.586314,-0.0005374073719833783
2024-03-08T01:00:00-08:00 to 2024-03-08T02:00:00-08:00,0.5045821300207487,2024-03-08T01:00:00-08:00 to 2024-03-08T02:00:00-08:00,0.505106,2024-03-08T01:00:00-08:00 to 2024-03-08T02:00:00-08:00,0.57149,-0.0005238699792513568
2024-03-08T02:00:00-08:00 to 2024-03-08T03:00:00-08:00,0.49836458052800836,2024-03-08T02:00:00-08:00 to 2024-03-08T03:00:00-08:00,0.498882,2024-03-08T02:00:00-08:00 to 2024-03-08T03:00:00-08:00,0.564448,-0.0005174194719916314
2024-03-08T03:00:00-08:00 to 2024-03-08T04:00:00-08:00,0.4954032540584471,2024-03-08T03:00:00-08:00 to 2024-03-08T04:00:00-08:00,0.495918,2024-03-08T03:00:00-08:00 to 2024-03-08T04:00:00-08:00,0.561094,-0.0005147459415529299
2024-03-08T04:00:00-08:00 to 2024-03-08T05:00:00-08:00,0.5510654200156784,2024-03-08T04:00:00-08:00 to 2024-03-08T05:00:00-08:00,0.551638,2024-03-08T04:00:00-08:00 to 2024-03-08T05:00:00-08:00,0.624137,-0.0005725799843215862
2024-03-08T05:00:00-08:00 to 2024-03-08T06:00:00-08:00,0.6706212506408503,2024-03-08T05:00:00-08:00 to 2024-03-08T06:00:00-08:00,0.671318,2024-03-08T05:00:00-08:00 to 2024-03-08T06:00:00-08:00,0.759546,-0.000696749359149651
2024-03-08T06:00:00-08:00 to 2024-03-08T07:00:00-08:00,0.7285604771123924,2024-03-08T06:00:00-08:00 to 2024-03-08T07:00:00-08:00,0.729317,2024-03-08T06:00:00-08:00 to 2024-03-08T07:00:00-08:00,0.825168,-0.0007565228876076358
2024-03-08T07:00:00-08:00 to 2024-03-08T08:00:00-08:00,0.7123994396350966,2024-03-08T07:00:00-08:00 to 2024-03-08T08:00:00-08:00,0.713139,2024-03-08T07:00:00-08:00 to 2024-03-08T08:00:00-08:00,0.806864,-0.0007395603649034133
2024-03-08T08:00:00-08:00 to 2024-03-08T09:00:00-08:00,0.7021804794208144,2024-03-08T08:00:00-08:00 to 2024-03-08T09:00:00-08:00,0.70291,2024-03-08T08:00:00-08:00 to 2024-03-08T09:00:00-08:00,0.79529,-0.0007295205791856274
2024-03-08T09:00:00-08:00 to 2024-03-08T10:00:00-08:00,0.6214079602154245,2024-03-08T09:00:00-08:00 to 2024-03-08T10:00:00-08:00,0.622053,2024-03-08T09:00:00-08:00 to 2024-03-08T10:00:00-08:00,0.703807,-0.0006450397845754186
2024-03-08T10:00:00-08:00 to 2024-03-08T11:00:00-08:00,0.540577168038362,2024-03-08T10:00:00-08:00 to 2024-03-08T11:00:00-08:00,0.541139,2024-03-08T10:00:00-08:00 to 2024-03-08T11:00:00-08:00,0.612258,-0.0005618319616380596
2024-03-08T11:00:00-08:00 to 2024-03-08T12:00:00-08:00,0.5399034971688703,2024-03-08T11:00:00-08:00 to 2024-03-08T12:00:00-08:00,0.540464,2024-03-08T11:00:00-08:00 to 2024-03-08T12:00:00-08:00,0.611495,-0.0005605028311297389
2024-03-08T12:00:00-08:00 to 2024-03-08T13:00:00-08:00,0.5264689284268176,2024-03-08T12:00:00-08:00 to 2024-03-08T13:00:00-08:00,0.527016,2024-03-08T12:00:00-08:00 to 2024-03-08T13:00:00-08:00,0.596279,-0.000547071573182456
2024-03-08T13:00:00-08:00 to 2024-03-08T14:00:00-08:00,0.5220304704177285,2024-03-08T13:00:00-08:00 to 2024-03-08T14:00:00-08:00,0.522573,2024-03-08T13:00:00-08:00 to 2024-03-08T14:00:00-08:00,0.591252,-0.0005425295822714116
